;Unemployment;Population;Electricity.consumption;GDP
Q1_2003;7.571415991;10198327;17142.5;691806
Q2_2003;7.506600984;10198856;16579.7;699919
Q3_2003;7.964024193;10205747;16298;703731
Q4_2003;8.065286936;10210826;16168;713953
Q1_2004;8.668294518;10206705;16277.7;742334
Q2_2004;8.186022601;10206474;16604.8;747520
Q3_2004;8.183130755;10209841;17853.6;769085
Q4_2004;8.15450074;10217458;17519.7;798347
Q1_2005;8.35896025;10221943;18377;800820
Q2_2005;7.803423287;10227574;18298.6;807378
Q3_2005;7.778491048;10239406;17809.8;815611
Q4_2005;7.771632844;10249544;18187.4;837873
Q1_2006;7.965012593;10253987;17578.8;851405
Q2_2006;7.063097878;10262154;16879;867114
Q3_2006;7.01245202;10271953;16803.2;888722
Q4_2006;6.524222489;10284053;18169.6;907623
Q1_2007;6.013022961;10294550;18004.4;942120
Q2_2007;5.291870648;10309830;18125.9;947050
Q3_2007;5.120237399;10333113;17896.5;970043
Q4_2007;4.843417055;10356998;16858.9;982669
Q1_2008;4.699963971;10393377;17074.3;992731
Q2_2008;4.214365919;10418918;17064.7;1009334
Q3_2008;4.274127032;10441328;17015.2;1020045
Q4_2008;4.383327858;10461479;17419;997751
Q1_2009;5.767844783;10474205;18285.9;995959
Q2_2009;6.330225746;10485845;17840.4;977913
Q3_2009;7.290617964;10497359;18243.2;972708
Q4_2009;7.24731134;10505853;18811.5;985356
Q1_2010;8.048384784;10507968;18401.1;980135
Q2_2010;7.129285475;10513359;18334.9;992121
Q3_2010;7.078800008;10521785;17949.7;993197
Q4_2010;6.872991512;10530608;17770.2;992965
Q1_2011;7.178155589;10488639;18460.4;997304
Q2_2011;6.737480076;10493114;18542.7;1004510
Q3_2011;6.554745738;10500364;18441.7;1010025
Q4_2011;6.432949907;10505720;18286;1018041
Q1_2012;7.094571082;10506136;17727.1;1016903
Q2_2012;6.697808684;10508271;17050.7;1015412
Q3_2012;6.957287649;10513523;17038;1012851
Q4_2012;7.166179932;10517369;16694.6;1013802
Q1_2013;7.443358197;10513990;17030.5;1011666
Q2_2013;6.74149911;10510564;16814.8;1015294
Q3_2013;6.942371413;10512169;17727.1;1023046
Q4_2013;6.688880403;10513745;17483.3;1047070
Q1_2014;6.776295436;10516521;17881;1052596
Q2_2014;6.033046864;10521718;17342.7;1068012
Q3_2014;5.89082697;10528112;17545.2;1086750
Q4_2014;5.735519022;10536487;17443.6;1105218
Q1_2015;5.96315101;10537839;18904.1;1124851
Q2_2015;4.933838753;10539751;17906.2;1144791
Q3_2015;4.837112653;10545155;18277.6;1159668
Q4_2015;4.459643899;10551257;18965.8;1168477
Q1_2016;4.348436264;10555958;18136;1181683
Q2_2016;3.928902687;10561421;18209.2;1185584
Q3_2016;3.971045032;10569374;17712.2;1195161
Q4_2016;3.564891691;10577281;17508.7;1203410
Q1_2017;3.448483644;10578089;17485.2;1224225
Q2_2017;2.964031713;10584101;17323.2;1256656
Q3_2017;2.775061973;10595046;17638.1;1277280
Q4_2017;2.387224311;10606126;17704.8;1293581
